"","departure_airport","departure_city","departure_country","lon_departure","lat_departure","arrival_airport","arrival_city","arrival_country","lon_arrival","lat_arrival","airline","airline_country","active_airline","distance_km","domestic_flight","origen_eur","destino_eur"
"109","Arvidsjaur","Arvidsjaur","Sweden",19.469,65.983,"Arlanda","Stockholm","Sweden",18.531,60.086,"Yuzhmashavia","Ukraine",1,657,1,"YES","YES"
"110","Arvidsjaur","Arvidsjaur","Sweden",19.469,65.983,"Lycksele","Lycksele","Sweden",19.193,64.913,"Yuzhmashavia","Ukraine",1,119,1,"YES","YES"
"111","Arlanda","Stockholm","Sweden",18.531,60.086,"Arvidsjaur","Arvidsjaur","Sweden",19.469,65.983,"Yuzhmashavia","Ukraine",1,657,1,"YES","YES"
"112","Arlanda","Stockholm","Sweden",18.531,60.086,"Gallivare","Gallivare","Sweden",21.357,67.22,"Yuzhmashavia","Ukraine",1,805,1,"YES","YES"
"113","Arlanda","Stockholm","Sweden",18.531,60.086,"Kramfors Solleftea","Kramfors","Sweden",18.281,63.08,"Yuzhmashavia","Ukraine",1,333,1,"YES","YES"
"114","Arlanda","Stockholm","Sweden",18.531,60.086,"Lycksele","Lycksele","Sweden",19.193,64.913,"Yuzhmashavia","Ukraine",1,537,1,"YES","YES"
"115","Arlanda","Stockholm","Sweden",18.531,60.086,"Mariehamn","Mariehamn","Finland",20.496,60.203,"Yuzhmashavia","Ukraine",1,109,0,"YES","YES"
"116","Arlanda","Stockholm","Sweden",18.531,60.086,"Visby","Visby","Sweden",18.577,58.104,"Yuzhmashavia","Ukraine",1,220,1,"YES","YES"
"117","Arlanda","Stockholm","Sweden",18.531,60.086,"Vilhelmina","Vilhelmina","Sweden",17.389,64.965,"Yuzhmashavia","Ukraine",1,545,1,"YES","YES"
"118","Bromma","Stockholm","Sweden",18.569,59.59,"Östersund Airport","Östersund","Sweden",14.833,63.324,"Yuzhmashavia","Ukraine",1,459,1,"YES","YES"
"119","Kastrup","Copenhagen","Denmark",13.093,56.029,"Saab","Linkoeping","Sweden",16.134,58.676,"Yuzhmashavia","Ukraine",1,346,0,"YES","YES"
"120","Gallivare","Gallivare","Sweden",21.357,67.22,"Arlanda","Stockholm","Sweden",18.531,60.086,"Yuzhmashavia","Ukraine",1,805,1,"YES","YES"
"121","Gallivare","Gallivare","Sweden",21.357,67.22,"Kramfors Solleftea","Kramfors","Sweden",18.281,63.08,"Yuzhmashavia","Ukraine",1,482,1,"YES","YES"
"122","Helsinki Vantaa","Helsinki","Finland",25.605,60.528,"Mariehamn","Mariehamn","Finland",20.496,60.203,"Yuzhmashavia","Ukraine",1,283,1,"YES","YES"
"123","Hemavan Airport","Hemavan","Sweden",15.137,66.343,"Vilhelmina","Vilhelmina","Sweden",17.389,64.965,"Yuzhmashavia","Ukraine",1,184,1,"YES","YES"
"124","Kramfors Solleftea","Kramfors","Sweden",18.281,63.08,"Arlanda","Stockholm","Sweden",18.531,60.086,"Yuzhmashavia","Ukraine",1,333,1,"YES","YES"
"125","Kramfors Solleftea","Kramfors","Sweden",18.281,63.08,"Gallivare","Gallivare","Sweden",21.357,67.22,"Yuzhmashavia","Ukraine",1,482,1,"YES","YES"
"126","Saab","Linkoeping","Sweden",16.134,58.676,"Kastrup","Copenhagen","Denmark",13.093,56.029,"Yuzhmashavia","Ukraine",1,346,0,"YES","YES"
"127","Saab","Linkoeping","Sweden",16.134,58.676,"Orebro","Orebro","Sweden",15.063,59.372,"Yuzhmashavia","Ukraine",1,98,1,"YES","YES"
"128","Lycksele","Lycksele","Sweden",19.193,64.913,"Arvidsjaur","Arvidsjaur","Sweden",19.469,65.983,"Yuzhmashavia","Ukraine",1,119,1,"YES","YES"
"129","Lycksele","Lycksele","Sweden",19.193,64.913,"Arlanda","Stockholm","Sweden",18.531,60.086,"Yuzhmashavia","Ukraine",1,537,1,"YES","YES"
"130","Mariehamn","Mariehamn","Finland",20.496,60.203,"Arlanda","Stockholm","Sweden",18.531,60.086,"Yuzhmashavia","Ukraine",1,109,0,"YES","YES"
"131","Mariehamn","Mariehamn","Finland",20.496,60.203,"Helsinki Vantaa","Helsinki","Finland",25.605,60.528,"Yuzhmashavia","Ukraine",1,283,1,"YES","YES"
"132","Orebro","Orebro","Sweden",15.063,59.372,"Saab","Linkoeping","Sweden",16.134,58.676,"Yuzhmashavia","Ukraine",1,98,1,"YES","YES"
"133","Östersund Airport","Östersund","Sweden",14.833,63.324,"Bromma","Stockholm","Sweden",18.569,59.59,"Yuzhmashavia","Ukraine",1,459,1,"YES","YES"
"134","Visby","Visby","Sweden",18.577,58.104,"Arlanda","Stockholm","Sweden",18.531,60.086,"Yuzhmashavia","Ukraine",1,220,1,"YES","YES"
"135","Vilhelmina","Vilhelmina","Sweden",17.389,64.965,"Arlanda","Stockholm","Sweden",18.531,60.086,"Yuzhmashavia","Ukraine",1,545,1,"YES","YES"
"136","Vilhelmina","Vilhelmina","Sweden",17.389,64.965,"Hemavan Airport","Hemavan","Sweden",15.137,66.343,"Yuzhmashavia","Ukraine",1,184,1,"YES","YES"
"233","Mosnov","Ostrava","Czech Republic",18.185,50.16,"Ruzyne","Prague","Czech Republic",14.433,50.168,"JobAir","Czech Republic",1,267,1,"YES","YES"
"234","Mosnov","Ostrava","Czech Republic",18.185,50.16,"Schwechat","Vienna","Austria",16.949,48.183,"JobAir","Czech Republic",1,237,0,"YES","YES"
"235","Lawica","Poznan","Poland",17.377,52.701,"Ruzyne","Prague","Czech Republic",14.433,50.168,"JobAir","Czech Republic",1,347,0,"YES","YES"
"236","Ruzyne","Prague","Czech Republic",14.433,50.168,"Mosnov","Ostrava","Czech Republic",18.185,50.16,"JobAir","Czech Republic",1,267,1,"YES","YES"
"237","Ruzyne","Prague","Czech Republic",14.433,50.168,"Lawica","Poznan","Poland",17.377,52.701,"JobAir","Czech Republic",1,347,0,"YES","YES"
"238","Schwechat","Vienna","Austria",16.949,48.183,"Mosnov","Ostrava","Czech Republic",18.185,50.16,"JobAir","Czech Republic",1,237,0,"YES","YES"
"299","Dusseldorf","Duesseldorf","Germany",7.277,51.482,"Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Intersky","Austria",1,417,1,"YES","YES"
"300","Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Dusseldorf","Duesseldorf","Germany",7.277,51.482,"Intersky","Austria",1,417,1,"YES","YES"
"301","Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Graz","Graz","Austria",15.732,47.651,"Intersky","Austria",1,441,0,"YES","YES"
"302","Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Hamburg","Hamburg","Germany",10.647,54.05,"Intersky","Austria",1,661,1,"YES","YES"
"303","Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Tegel","Berlin","Germany",13.479,52.932,"Intersky","Austria",1,593,1,"YES","YES"
"304","Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Schwechat","Vienna","Austria",16.949,48.183,"Intersky","Austria",1,526,0,"YES","YES"
"305","Graz","Graz","Austria",15.732,47.651,"Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Intersky","Austria",1,441,0,"YES","YES"
"306","Hamburg","Hamburg","Germany",10.647,54.05,"Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Intersky","Austria",1,661,1,"YES","YES"
"307","Tegel","Berlin","Germany",13.479,52.932,"Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Intersky","Austria",1,593,1,"YES","YES"
"308","Schwechat","Vienna","Austria",16.949,48.183,"Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Intersky","Austria",1,526,0,"YES","YES"
"820","Malaga","Malaga","Spain",-4.166,37.124,"Stuttgart","Stuttgart","Germany",9.369,49.149,"Germanwings","Germany",1,1724,0,"YES","YES"
"821","Arlanda","Stockholm","Sweden",18.531,60.086,"Koln Bonn","Cologne","Germany",7.237,51.443,"Germanwings","Germany",1,1189,0,"YES","YES"
"822","Aurel Vlaicu","Bucharest","Romania",26.17,44.838,"Koln Bonn","Cologne","Germany",7.237,51.443,"Germanwings","Germany",1,1578,0,"YES","YES"
"823","Aurel Vlaicu","Bucharest","Romania",26.17,44.838,"Stuttgart","Stuttgart","Germany",9.369,49.149,"Germanwings","Germany",1,1357,0,"YES","YES"
"824","Aurel Vlaicu","Bucharest","Romania",26.17,44.838,"Schonefeld","Berlin","Germany",13.87,52.633,"Germanwings","Germany",1,1247,0,"YES","YES"
"825","Barcelona","Barcelona","Spain",2.13,41.495,"Koln Bonn","Cologne","Germany",7.237,51.443,"Germanwings","Germany",1,1172,0,"YES","YES"
"826","Barcelona","Barcelona","Spain",2.13,41.495,"Hannover","Hannover","Germany",10.141,52.768,"Germanwings","Germany",1,1390,0,"YES","YES"
"827","Barcelona","Barcelona","Spain",2.13,41.495,"Stuttgart","Stuttgart","Germany",9.369,49.149,"Germanwings","Germany",1,1021,0,"YES","YES"
"830","Bologna","Bologna","Italy",11.481,44.892,"Koln Bonn","Cologne","Germany",7.237,51.443,"Germanwings","Germany",1,793,0,"YES","YES"
"831","Bari","Bari","Italy",17.267,41.231,"Koln Bonn","Cologne","Germany",7.237,51.443,"Germanwings","Germany",1,1369,0,"YES","YES"
"832","Bari","Bari","Italy",17.267,41.231,"Stuttgart","Stuttgart","Germany",9.369,49.149,"Germanwings","Germany",1,1074,0,"YES","YES"
"833","Ferihegy","Budapest","Hungary",19.425,47.728,"Koln Bonn","Cologne","Germany",7.237,51.443,"Germanwings","Germany",1,969,0,"YES","YES"
"834","Ferihegy","Budapest","Hungary",19.425,47.728,"Stuttgart","Stuttgart","Germany",9.369,49.149,"Germanwings","Germany",1,757,0,"YES","YES"
"835","Koln Bonn","Cologne","Germany",7.237,51.443,"Arlanda","Stockholm","Sweden",18.531,60.086,"Germanwings","Germany",1,1189,0,"YES","YES"
"836","Koln Bonn","Cologne","Germany",7.237,51.443,"Aurel Vlaicu","Bucharest","Romania",26.17,44.838,"Germanwings","Germany",1,1578,0,"YES","YES"
"837","Koln Bonn","Cologne","Germany",7.237,51.443,"Barcelona","Barcelona","Spain",2.13,41.495,"Germanwings","Germany",1,1172,0,"YES","YES"
"839","Koln Bonn","Cologne","Germany",7.237,51.443,"Bologna","Bologna","Italy",11.481,44.892,"Germanwings","Germany",1,793,0,"YES","YES"
"840","Koln Bonn","Cologne","Germany",7.237,51.443,"Bari","Bari","Italy",17.267,41.231,"Germanwings","Germany",1,1369,0,"YES","YES"
"841","Koln Bonn","Cologne","Germany",7.237,51.443,"Ferihegy","Budapest","Hungary",19.425,47.728,"Germanwings","Germany",1,969,0,"YES","YES"
"842","Koln Bonn","Cologne","Germany",7.237,51.443,"Kastrup","Copenhagen","Denmark",13.093,56.029,"Germanwings","Germany",1,638,0,"YES","YES"
"843","Koln Bonn","Cologne","Germany",7.237,51.443,"Dresden","Dresden","Germany",14.278,51.221,"Germanwings","Germany",1,489,1,"YES","YES"
"844","Koln Bonn","Cologne","Germany",7.237,51.443,"Edinburgh","Edinburgh","United Kingdom",-2.955,56.583,"Germanwings","Germany",1,876,0,"YES","YES"
"845","Koln Bonn","Cologne","Germany",7.237,51.443,"Fiumicino","Rome","Italy",12.417,42.34,"Germanwings","Germany",1,1085,0,"YES","YES"
"846","Koln Bonn","Cologne","Germany",7.237,51.443,"Friedrichshafen","Friedrichshafen","Germany",9.852,48.118,"Germanwings","Germany",1,414,1,"YES","YES"
"847","Koln Bonn","Cologne","Germany",7.237,51.443,"Woerthersee International Airport","Klagenfurt","Austria",14.562,47.07,"Germanwings","Germany",1,719,0,"YES","YES"
"848","Koln Bonn","Cologne","Germany",7.237,51.443,"Leipzig Halle","Leipzig","Germany",12.402,51.72,"Germanwings","Germany",1,358,1,"YES","YES"
"849","Koln Bonn","Cologne","Germany",7.237,51.443,"Lisboa","Lisbon","Portugal",-8.56,39.302,"Germanwings","Germany",1,1821,0,"YES","YES"
"850","Koln Bonn","Cologne","Germany",7.237,51.443,"Gran Canaria","Gran Canaria","Spain",-14.978,28.553,"Germanwings","Germany",1,3145,0,"YES","YES"
"851","Koln Bonn","Cologne","Germany",7.237,51.443,"Manchester","Manchester","United Kingdom",-1.792,53.589,"Germanwings","Germany",1,655,0,"YES","YES"
"852","Koln Bonn","Cologne","Germany",7.237,51.443,"Franz Josef Strauss","Munich","Germany",12.31,48.589,"Germanwings","Germany",1,481,1,"YES","YES"
"853","Koln Bonn","Cologne","Germany",7.237,51.443,"Malpensa","Milano","Italy",9.213,46.051,"Germanwings","Germany",1,616,0,"YES","YES"
"854","Koln Bonn","Cologne","Germany",7.237,51.443,"Cote D Azur","Nice","France",7.359,44.097,"Germanwings","Germany",1,816,0,"YES","YES"
"855","Koln Bonn","Cologne","Germany",7.237,51.443,"Ruzyne","Prague","Czech Republic",14.433,50.168,"Germanwings","Germany",1,524,0,"YES","YES"
"857","Koln Bonn","Cologne","Germany",7.237,51.443,"Pisa","Pisa","Italy",10.654,44.139,"Germanwings","Germany",1,851,0,"YES","YES"
"858","Koln Bonn","Cologne","Germany",7.237,51.443,"Laage","Laage","Germany",12.463,54.53,"Germanwings","Germany",1,489,1,"YES","YES"
"860","Koln Bonn","Cologne","Germany",7.237,51.443,"Makedonia","Thessaloniki","Greece",23.618,40.866,"Germanwings","Germany",1,1717,0,"YES","YES"
"861","Koln Bonn","Cologne","Germany",7.237,51.443,"Sofia","Sofia","Bulgaria",23.676,43.158,"Germanwings","Germany",1,1538,0,"YES","YES"
"863","Koln Bonn","Cologne","Germany",7.237,51.443,"Stansted","London","United Kingdom",0.391,52.475,"Germanwings","Germany",1,482,0,"YES","YES"
"864","Koln Bonn","Cologne","Germany",7.237,51.443,"Schonefeld","Berlin","Germany",13.87,52.633,"Germanwings","Germany",1,472,1,"YES","YES"
