"original address",latitude,longitude,accuracy,status code
"Abrera,Barcelona,Spain",41.5160856,1.9021424,4,200
"Aguilar de Segarra,Barcelona,Spain",41.7397615,1.6293852,4,200
"Aiguafreda,Barcelona,Spain",41.7688352,2.2502611,4,200
"Alella,Barcelona,Spain",41.4939555,2.295461,4,200
"Alpens,Barcelona,Spain",42.1201015,2.1013627,4,200
"Ametlla del Vallès, l`,Barcelona,Spain",41.6697592,2.261185,4,200
"Arenys de Mar,Barcelona,Spain",41.579445,2.5514795,4,200
"Arenys de Munt,Barcelona,Spain",41.6102603,2.5413762,4,200
"Argençola,Barcelona,Spain",41.5996758,1.443381,4,200
"Argentona,Barcelona,Spain",41.5555506,2.4005645,4,200
"Artés,Barcelona,Spain",41.798389,1.9547259,4,200
"Avià,Barcelona,Spain",42.0774121,1.8253078,4,200
"Avinyó,Barcelona,Spain",41.862094,1.9719589,4,200
"Avinyonet del Penedès,Barcelona,Spain",41.360604,1.776485,4,200
"Badalona,Barcelona,Spain",41.450137,2.2474195,4,200
"Badia del Vallès,Barcelona,Spain",41.5087033,2.1148642,4,200
"Bagà,Barcelona,Spain",42.2518827,1.8633638,4,200
"Balenyà,Barcelona,Spain",41.8163889,2.2363889,4,200
"Balsareny,Barcelona,Spain",41.86267,1.8733858,4,200
"Barberà del Vallès,Barcelona,Spain",41.5159611,2.1247233,4,200
"Barcelona,Barcelona,Spain",41.387917,2.1699187,4,200
"Begues,Barcelona,Spain",41.3310099,1.9219869,4,200
"Bellprat,Barcelona,Spain",41.5172494,1.4334585,4,200
"Berga,Barcelona,Spain",42.1014409,1.8437996,4,200
"Bigues i Riells,Barcelona,Spain",41.6773292,2.2235273,4,200
"Borredà,Barcelona,Spain",42.1354085,1.9937535,4,200
"Bruc, el,Barcelona,Spain",41.3941612,2.1697712,6,200
"Brull, el,Barcelona,Spain",41.8167689,2.305493,4,200
"Cabanyes, les,Barcelona,Spain",41.3728896,2.164754,6,200
"Cabrera d`Anoia,Barcelona,Spain",41.4794444,1.7047222,4,200
"Cabrera de Mar,Barcelona,Spain",41.5262336,2.3935324,4,200
"Cabrils,Barcelona,Spain",41.5255257,2.3686452,4,200
"Calaf,Barcelona,Spain",41.7334187,1.5134983,4,200
"Calders,Barcelona,Spain",41.7922652,1.996567,4,200
"Caldes d`Estrac,Barcelona,Spain",41.569457,2.5263181,4,200
"Caldes de Montbui,Barcelona,Spain",41.6297554,2.1659222,4,200
"Calella,Barcelona,Spain",41.613405,2.6573645,4,200
"Calldetenes,Barcelona,Spain",41.9252254,2.2837921,4,200
"Callús,Barcelona,Spain",41.7810889,1.7840075,4,200
"Calonge de Segarra,Barcelona,Spain",41.7636269,1.4822492,4,200
"Campins,Barcelona,Spain",41.7253797,2.4641721,4,200
"Canet de Mar,Barcelona,Spain",41.5889651,2.5819239,4,200
"Canovelles,Barcelona,Spain",41.6158215,2.2834556,4,200
"Cànoves i Samalús,Barcelona,Spain",41.6938443,2.3538418,4,200
"Canyelles,Barcelona,Spain",41.287075,1.7215691,4,200
"Capellades,Barcelona,Spain",41.5307542,1.6796126,4,200
"Capolat,Barcelona,Spain",42.0771325,1.7525649,4,200
"Cardedeu,Barcelona,Spain",41.6381571,2.3544922,4,200
"Cardona,Barcelona,Spain",41.9139171,1.6813476,4,200
"Carme,Barcelona,Spain",41.5312599,1.6234864,4,200
"Casserres,Barcelona,Spain",42.012335,1.8458337,4,200
"Castell de l`Areny,Barcelona,Spain",42.1731838,1.9457532,4,200
"Castellar de n`Hug,Barcelona,Spain",42.2832573,2.016574,4,200
"Castellar del Riu,Barcelona,Spain",42.122838,1.772439,4,200
"Castellar del Vallès,Barcelona,Spain",41.6161765,2.0856496,4,200
"Castellbell i el Vilar,Barcelona,Spain",41.6338889,1.8638889,4,200
"Castellbisbal,Barcelona,Spain",41.4746738,1.9814068,4,200
"Castellcir,Barcelona,Spain",41.7604333,2.1486782,4,200
"Castelldefels,Barcelona,Spain",41.2803885,1.9767745,4,200
"Castellet i la Gornal,Barcelona,Spain",41.2539133,1.5924776,4,200
"Castellfollit de Riubregós,Barcelona,Spain",41.7759477,1.4378334,4,200
"Castellfollit del Boix,Barcelona,Spain",41.6657884,1.6847265,4,200
"Castellgalí,Barcelona,Spain",41.6745067,1.8395978,4,200
"Castellnou de Bages,Barcelona,Spain",41.8349854,1.8370721,4,200
"Castellolí,Barcelona,Spain",41.5989631,1.7007737,4,200
"Castellterçol,Barcelona,Spain",41.7478739,2.1230902,4,200
"Castellví de la Marca,Barcelona,Spain",41.332422,1.594271,4,200
"Castellví de Rosanes,Barcelona,Spain",41.4503685,1.899479,4,200
"Centelles,Barcelona,Spain",41.7965934,2.221327,4,200
"Cercs,Barcelona,Spain",42.1516832,1.856175,4,200
"Cerdanyola del Vallès,Barcelona,Spain",41.4913697,2.1407688,4,200
"Cervelló,Barcelona,Spain",41.3961517,1.9576207,4,200
"Collbató,Barcelona,Spain",41.5663829,1.8301341,4,200
"Collsuspina,Barcelona,Spain",41.8278792,2.1755011,4,200
"Copons,Barcelona,Spain",41.6366609,1.5176419,4,200
"Corbera de Llobregat,Barcelona,Spain",41.4176412,1.9328273,4,200
"Cornellà de Llobregat,Barcelona,Spain",41.3556129,2.0704325,4,200
"Cubelles,Barcelona,Spain",41.2083457,1.6728252,4,200
"Dosrius,Barcelona,Spain",41.5948187,2.4053859,4,200
"Esparreguera,Barcelona,Spain",41.5388887,1.8706916,4,200
"Esplugues de Llobregat,Barcelona,Spain",41.3775143,2.0880846,4,200
"Espunyola, l`,Barcelona,Spain",42.0521338,1.7731262,4,200
"Estany, l`,Barcelona,Spain",41.868577,2.1134993,4,200
"Figaró-Montmany,Barcelona,Spain",41.7216907,2.2731136,4,200
"Fígols,Barcelona,Spain",42.180901,1.8360817,4,200
"Fogars de la Selva,Barcelona,Spain",41.7253879,2.6735662,4,200
"Fogars de Montclús,Barcelona,Spain",41.7286111,2.4444444,4,200
"Folgueroles,Barcelona,Spain",41.9381307,2.3179602,4,200
"Fonollosa,Barcelona,Spain",41.7656564,1.6690174,4,200
"Font-rubí,Barcelona,Spain",41.4342282,1.5914083,4,200
"Franqueses del Vallès, les,Barcelona,Spain",41.6188889,2.2980556,4,200
"Gaià,Barcelona,Spain",41.9172265,1.9248899,4,200
"Gallifa,Barcelona,Spain",41.6932453,2.1152685,4,200
"Garriga, la,Barcelona,Spain",41.683199,2.2859957,4,200
"Gavà,Barcelona,Spain",41.3031677,2.0032133,4,200
"Gelida,Barcelona,Spain",41.4404736,1.862745,4,200
"Gironella,Barcelona,Spain",42.0337312,1.8826378,4,200
"Gisclareny,Barcelona,Spain",42.2501535,1.7865609,4,200
"Granada, la,Barcelona,Spain",37.1613073,-3.6015344,6,200
"Granera,Barcelona,Spain",41.72563,2.0615813,4,200
"Granollers,Barcelona,Spain",41.6082128,2.2877888,4,200
"Gualba,Barcelona,Spain",41.7314517,2.5027259,4,200
"Guardiola de Berguedà,Barcelona,Spain",42.233446,1.8791111,4,200
"Gurb,Barcelona,Spain",41.9539762,2.2355552,4,200
"Hospitalet de Llobregat, l`,Barcelona,Spain",41.3595829,2.0997037,4,200
"Hostalets de Pierola, els,Barcelona,Spain",41.5341759,1.7659036,4,200
"Igualada,Barcelona,Spain",41.5787648,1.6171926,4,200
"Jorba,Barcelona,Spain",41.6004892,1.5461948,4,200
"Llacuna, la,Barcelona,Spain",41.3991277,2.1975859,9,200
"Llagosta, la,Barcelona,Spain",41.5132133,2.1932462,4,200
"Lliçà d`Amunt,Barcelona,Spain",41.6086446,2.2394426,4,200
"Lliçà de Vall,Barcelona,Spain",41.5908073,2.2427331,4,200
"Llinars del Vallès,Barcelona,Spain",41.6393529,2.404427,4,200
"Lluçà,Barcelona,Spain",42.0504846,2.0350426,4,200
